No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,RS Lower Bound
8 (PVC),109165.25,21.83,2.61,1.85,71.05,-62749.87,-14.47,-73223.05,-11.2,1.49,0.17,6.34,2.71,2.71,33436.5,0.54,8,-0.44,0.95,0.0323,10,10916.53,2.88,16.9,5,50,172888.23,34577.65,9.68,23.8,5,50,-63722.98,-12744.6,-3.93,10,70
10 (DVN),109014.96,21.8,3.82,1.85,48.48,-96560.55,-13.91,-128989.23,-18.56,0.85,0.1,2.61,3.14,2.35,29328.39,0.36,7.21,-0.49,1.48,0.0216,7,15573.57,6.53,26.71,4,57.14,159997.06,39999.26,15.73,35,3,42.86,-50982.09,-16994.03,-5.72,15.67,90
8 (HCM),106562.34,21.31,4.95,1.81,36.68,-52223.63,-12.07,-137696.32,-21.31,0.77,0.09,1.72,1.69,4.66,44748.09,0.15,9.54,-0.38,0.56,0.0093,15,7104.16,3.36,16.13,4,26.67,260256.42,65064.11,25.31,40.5,11,73.33,-153694.08,-13972.19,-4.63,7.27,70
7 (HUT),106090.31,21.22,3.25,1.81,55.67,-72222.35,-12.78,-76590.57,-12.92,1.39,0.14,4.31,3.52,7.04,21187.19,0.3,5.74,-0.63,1.19,0.0182,6,17681.72,5.23,20.5,2,33.33,148150.78,74075.39,22.42,49.5,4,66.67,-42060.47,-10515.12,-3.37,6,60
9 (KDH),102528.93,20.51,8.31,1.75,21.08,-68854.79,-13.6,-68854.79,-10.26,1.49,0.17,2.06,2.85,3.99,32319.49,0.19,6.1,-0.6,0.29,0.0112,24,4272.04,1.03,20.46,10,41.67,158006.47,15800.65,7.79,35.3,14,58.33,-55477.55,-3962.68,-3.79,9.86,80
8 (BVH),102128.99,20.43,8.13,1.74,21.46,-139745.06,-18.9,-139745.06,-18.84,0.73,0.09,1.14,2.15,2.5,21773.41,0.55,11.06,-0.33,0.79,0.0329,13,7856.08,1.68,19.46,6,46.15,191224.04,31870.67,6.51,32.17,7,53.85,-89095.05,-12727.86,-2.46,8.57,70
7 (PLX),102145.18,20.43,1.98,1.75,88.29,-37585.9,-5.88,-37585.9,-5.88,2.72,0.3,15.03, N/A, N/A,29488.23,0.31,2.54,-1.44, N/A,0.0187,1,102145.18,20.48,54,1,100,102145.18,102145.18,20.48,54,0,0,0,  N/A,  N/A,  N/A,60
7 (KBC),102118.98,20.42,5.3,1.74,32.93,-82600.24,-14.77,-82600.24,-14.77,1.24,0.12,2.23,3.1,5.17,36796.95,0.36,8.26,-0.44,0.93,0.0215,8,12764.87,2.72,18.75,3,37.5,150745.67,50248.56,10.16,24,5,62.5,-48626.69,-9725.34,-1.75,15.6,60
9 (DRC),101229.35,20.25,8.53,1.73,20.28,-67567,-18.02,-106859.58,-18.07,0.95,0.1,1.12,1.98,1.98,17244.11,0.2,7.22,-0.51,0.93,0.0119,18,5623.85,10.19,21.94,9,50,204849.99,22761.11,23,34.44,9,50,-103620.64,-11513.4,-2.63,9.44,80
10 (VHC),100929.05,20.19,8.41,1.73,20.52,-99543.37,-16.44,-160050.76,-26.61,0.63,0.06,0.77,1.63,1.42,25540.36,0.1,8.47,-0.43,0.96,0.0062,15,6728.6,9.14,31.53,8,53.33,261678.58,32709.82,21.76,47.75,7,46.67,-160749.53,-22964.22,-5.29,13,90
