No.,Net Profit,Net % Profit,Exposure %,CAR,RAR,Max. Trade Drawdown,Max. Trade % Drawdown,Max. Sys Drawdown,Max. Sys % Drawdown,Recovery Factor,CAR/MDD,RAR/MDD,Profit Factor,Payoff Ratio,Standard Error,RRR,Ulcer Index,Ulcer Perf. Index,Sharpe Ratio,K-Ratio,# Trades,Avg Profit/Loss,Avg % Profit/Loss,Avg Bars Held,# of winners,% of Winners,W. Tot. Profit,W. Avg. Profit,W. Avg % Profit,W. Avg. Bars Held,# of losers,% of Losers,L. Tot. Loss,L. Avg. Loss,L. Avg % Loss,L. Avg. Bars Held,nDay Buy Delay
6 (TIG),-57744.41,-11.55,18.51,-1.14,-6.13,-133615.98,-56.12,-347993.39,-61.94,-0.17,-0.02,-0.1,0.85,1.59,59221.94,-0.32,40.54,-0.16,-0.21,-0.019,46,-1255.31,-0.8,23.63,16,34.78,324983.09,20311.44,13.56,25.56,30,65.22,-382727.5,-12757.58,-8.45,22.6,5
11 (BSR),-58073.35,-11.61,11.15,-1.14,-10.24,-156757.97,-28.79,-250714.69,-45.94,-0.23,-0.02,-0.22,0.53,0.79,22947.93,-0.26,9.44,-0.69,-1.11,-0.0155,10,-5807.33,-1.13,30.9,4,40,64364.56,16091.14,3.81,40.75,6,60,-122437.91,-20406.32,-4.42,24.33,10
2 (VNB),-58202.42,-11.64,0.89,-1.15,-128.58,-32440.02,-13.17,-61227.22,-12.25,-0.95,-0.09,-10.5,0.16,0.94,14674.36,-0.51,6.93,-0.94,-5.83,-0.0306,7,-8314.63,-6.45,9.29,1,14.29,10860.16,10860.16,4.45,22,6,85.71,-69062.58,-11510.43,-8.26,7.17,1
5 (ASP),-58568,-11.71,2.33,-1.15,-49.38,-27402.57,-27.5,-82386.8,-15.73,-0.71,-0.07,-3.14,0.34,0.89,7558.89,-0.84,9.56,-0.69,-0.8,-0.0503,36,-1626.89,-1.69,18.19,10,27.78,30549.14,3054.91,9.3,29.1,26,72.22,-89117.14,-3427.58,-5.91,14,4
4 (TSC),-58869.17,-11.77,14.13,-1.16,-8.2,-201101.52,-46.21,-377736.22,-52.4,-0.16,-0.02,-0.16,0.89,1.71,52221.17,-0.18,27.68,-0.24,0.03,-0.0105,41,-1435.83,0.61,21.34,14,34.15,462896.31,33064.02,17.61,35,27,65.85,-521765.48,-19324.65,-8.2,14.26,3
2 (HVG),-58859.62,-11.77,23.07,-1.16,-5.02,-211720.07,-39.55,-546745.27,-73.12,-0.11,-0.02,-0.07,0.93,2.97,88254.59,-0.24,39,-0.17,0.15,-0.0146,63,-934.28,1.21,15.29,15,23.81,772859.22,51523.95,25.74,29.53,48,76.19,-831718.84,-17327.48,-6.45,10.83,1
11 (TCB),-59379.7,-11.88,10.63,-1.17,-11,-163798.55,-33.92,-274052.06,-46.2,-0.22,-0.03,-0.24,0.68,0.95,26773.86,-0.01,7.69,-0.85,-0.65,-0.0008,12,-4948.31,-0.84,24.75,5,41.67,126212.83,25242.57,5.25,32.4,7,58.33,-185592.53,-26513.22,-5.19,19.29,10
7 (VHM),-59617.93,-11.92,9.57,-1.17,-12.27,-183238.68,-32.35,-250227.41,-39.32,-0.24,-0.03,-0.31,0.69,1.11,24601.7,0.11,6.8,-0.97,-0.64,0.0069,13,-4585.99,-0.77,20.85,5,38.46,134438.18,26887.64,5.2,27.4,8,61.54,-194056.1,-24257.01,-4.5,16.75,6
10 (SAM),-59661.92,-11.93,23.51,-1.18,-5,-99660.77,-32.46,-341877.36,-45.96,-0.17,-0.03,-0.11,0.89,1.23,80626.55,-0.03,27.89,-0.24,0.18,-0.002,50,-1193.24,1.51,30.68,21,42,488993.79,23285.42,11.6,42.52,29,58,-548655.71,-18919.16,-5.79,22.1,9
3 (TNG),-59830.5,-11.97,14.16,-1.18,-8.32,-79387.72,-25,-184868.79,-32.92,-0.32,-0.04,-0.25,0.84,1.84,28906.52,-0.31,17.04,-0.39,0.28,-0.0184,70,-854.72,1.58,18.8,22,31.43,317519.54,14432.71,15.36,30.82,48,68.57,-377350.04,-7861.46,-4.73,13.29,2
7 (TNG),-60216.18,-12.04,15.24,-1.19,-7.79,-143619.39,-35.25,-323713.48,-45.41,-0.19,-0.03,-0.17,0.86,1.45,44786.85,0.02,12.71,-0.52,0.12,0.0013,59,-1020.61,1.07,23.66,22,37.29,381656.99,17348.04,13.51,29.73,37,62.71,-441873.17,-11942.52,-6.32,20.05,6
7 (TAR),-60315.67,-12.06,7.17,-1.19,-16.59,-184191.77,-32.76,-312822.4,-53.52,-0.19,-0.02,-0.31,0.72,1.81,30631.33,-0.12,8.77,-0.75,0.02,-0.0073,7,-8616.52,0.85,34.29,2,28.57,157093.66,78546.83,28.29,45,5,71.43,-217409.32,-43481.86,-10.13,30,6
11 (VGT),-60331.93,-12.07,7.4,-1.19,-16.08,-110179.2,-29.14,-188089.69,-30.74,-0.32,-0.04,-0.52,0.73,1.82,27895.59,-0.07,9.79,-0.67,-0.84,-0.0044,14,-4309.42,-2.63,22.93,4,28.57,161097.47,40274.37,10.34,25,10,71.43,-221429.4,-22142.94,-7.81,22.1,10
6 (ASP),-60964.49,-12.19,2.63,-1.2,-45.74,-42437.61,-40.74,-71901.86,-14.07,-0.85,-0.09,-3.25,0.37,1.38,6997.38,-0.66,10.33,-0.64,-0.78,-0.0397,33,-1847.41,-2.17,23.18,7,21.21,35899.46,5128.49,12.31,34.71,26,78.79,-96863.95,-3725.54,-6.06,20.08,5
3 (EVG),-61410.84,-12.28,3.87,-1.21,-31.34,-103899.2,-20.79,-148637.02,-29.73,-0.41,-0.04,-1.05,0.6,0.6,34248.62,-0.34,11.46,-0.58,0.42,-0.0207,16,-3838.18,2.36,17,8,50,92301.48,11537.68,11.51,20.88,8,50,-153712.32,-19214.04,-6.78,13.13,2
1 (ORS),-61392.75,-12.28,2.87,-1.21,-42.2,-47332.02,-26.67,-149945.27,-25.48,-0.41,-0.05,-1.66,0.67,2.08,17322.06,-0.5,19.37,-0.34,0.35,-0.0298,37,-1659.26,2.7,15.46,9,24.32,124239.87,13804.43,33.27,36,28,75.68,-185632.63,-6629.74,-7.12,8.86,0
11 (POW),-61541.81,-12.31,10.66,-1.21,-11.39,-126227.79,-30.29,-246052.34,-45.8,-0.25,-0.03,-0.25,0.46,0.58,27236.22,-0.26,10,-0.66,-1.16,-0.0158,9,-6837.98,-1.34,32.78,4,44.44,52579.76,13144.94,3.08,36.25,5,55.56,-114121.57,-22824.31,-4.87,30,10
8 (SAM),-61634.74,-12.33,24.84,-1.22,-4.9,-105847.04,-33.19,-351214.8,-45.49,-0.18,-0.03,-0.11,0.9,2.09,92888.95,-0.03,27.01,-0.24,0.07,-0.0019,53,-1162.92,0.89,29.6,16,30.19,583792.07,36487,14.34,44.75,37,69.81,-645426.81,-17443.97,-4.93,23.05,7
11 (GMD),-61953.99,-12.39,42.51,-1.22,-2.88,-154438.56,-32.99,-410123.18,-59.72,-0.15,-0.02,-0.05,0.91,1.41,71037.11,0.06,25.63,-0.26,0.06,0.0039,51,-1214.78,1.06,33.53,20,39.22,627893.74,31394.69,14.01,37.45,31,60.78,-689847.73,-22253.15,-7.3,31,10
8 (CII),-62429.65,-12.49,46.06,-1.23,-2.68,-192293.71,-46.66,-237662.74,-46.15,-0.26,-0.03,-0.06,0.91,1.65,67434.19,0.3,24.94,-0.27,-0.11,0.0178,59,-1058.13,0.11,25.39,21,35.59,667543.56,31787.79,9.53,36.71,38,64.41,-729973.21,-19209.82,-5.1,19.13,7
8 (HAG),-62596.25,-12.52,45.5,-1.24,-2.72,-197891.91,-48.3,-398007.27,-66.15,-0.16,-0.02,-0.04,0.93,1.81,71364.08,-0.25,40.82,-0.16,0.13,-0.0149,56,-1117.79,1.11,23.36,19,33.93,834441.43,43917.97,15.39,34.74,37,66.07,-897037.68,-24244.26,-6.23,17.51,7
5 (DCS),-62814.4,-12.56,17.44,-1.24,-7.12,-132467.4,-31.48,-293035.2,-45.44,-0.21,-0.03,-0.16,0.9,2.21,72550.31,0.14,32.49,-0.2,-0.49,0.0085,52,-1207.97,-2.11,20.94,15,28.85,535712.44,35714.16,17.85,28.73,37,71.15,-598526.84,-16176.4,-10.21,17.78,4
5 (NLG),-62920.07,-12.58,21.6,-1.24,-5.76,-115432.14,-21.61,-368495.04,-55.05,-0.17,-0.02,-0.1,0.82,1.58,36714.62,-0.15,16.8,-0.4,-0.29,-0.0088,41,-1534.64,-0.08,20.44,14,34.15,287362.5,20525.89,6.12,34.71,27,65.85,-350282.57,-12973.43,-3.3,13.04,4
10 (FID),-62916.59,-12.58,5.16,-1.24,-24.12,-332075.11,-39.46,-448385.56,-53.23,-0.14,-0.02,-0.45,0.66,1.15,29282.8,-0.28,32.26,-0.21,-1.01,-0.0166,11,-5719.69,-3.94,24.36,4,36.36,121038.57,30259.64,10.74,34.5,7,63.64,-183955.16,-26279.31,-12.33,18.57,9
9 (SAM),-62957.57,-12.59,23.64,-1.24,-5.26,-108754.58,-34.71,-302658.34,-41.68,-0.21,-0.03,-0.13,0.89,1.43,79938.01,-0.06,25.42,-0.26,0.14,-0.0038,52,-1210.72,1.3,30.19,20,38.46,521855.01,26092.75,12.91,43.05,32,61.54,-584812.59,-18275.39,-5.95,22.16,8
4 (PXT),-63256.33,-12.65,1.79,-1.25,-69.96,-74325.6,-29.77,-77382.1,-15.05,-0.82,-0.08,-4.65,0.49,0.93,12889.4,-0.38,10.83,-0.61,0.41,-0.0231,29,-2181.25,2.87,17.69,10,34.48,61221.06,6122.11,23.41,26.3,19,65.52,-124477.39,-6551.44,-7.94,13.16,3
5 (LDG),-63539.68,-12.71,21.37,-1.26,-5.88,-187861.9,-41.98,-575020.72,-66.3,-0.11,-0.02,-0.09,0.9,1.2,80668.91,0.09,20.04,-0.33,0.16,0.0053,28,-2269.27,1.45,25.93,12,42.86,563315.69,46942.97,15.12,38.42,16,57.14,-626855.37,-39178.46,-8.81,16.56,4
3 (ORS),-63604.79,-12.72,2.39,-1.26,-52.65,-59018.1,-26.67,-146353.92,-26.84,-0.43,-0.05,-1.96,0.52,1.14,12429.85,-0.42,17.79,-0.37,0.71,-0.0252,32,-1987.65,6.85,18.34,10,31.25,68531.47,6853.15,34.6,41.2,22,68.75,-132136.26,-6006.19,-5.76,7.95,2
10 (AGR),-63702.13,-12.74,10.67,-1.26,-11.82,-65805.07,-41.78,-170582.35,-32.14,-0.37,-0.04,-0.37,0.76,1.39,34867.19,-0.04,20.91,-0.32,-0.03,-0.0021,51,-1249.06,0.43,30.55,18,35.29,197926.64,10995.92,17.16,41.28,33,64.71,-261628.77,-7928.14,-8.7,24.7,9
8 (CTI),-63843.18,-12.77,19.38,-1.26,-6.52,-141975.03,-62.93,-443399.84,-52.79,-0.14,-0.02,-0.12,0.88,1.83,95110.21,-0.11,22.03,-0.3,-0.18,-0.0067,37,-1725.49,-0.39,24.16,12,32.43,466026.34,38835.53,12.73,31.5,25,67.57,-529869.51,-21194.78,-6.69,20.64,7
5 (ELC),-63871.42,-12.77,3.98,-1.26,-31.72,-35603.24,-27.16,-106847.98,-20.52,-0.6,-0.06,-1.55,0.55,0.93,16427.14,-0.4,9.49,-0.7,-0.38,-0.0242,27,-2365.61,-0.77,18.63,10,37.04,77446.8,7744.68,8.68,24.5,17,62.96,-141318.22,-8312.84,-6.33,15.18,4
11 (HNG),-64185.78,-12.84,27.25,-1.27,-4.66,-168781.05,-67.39,-317544.09,-61.8,-0.2,-0.02,-0.08,0.87,2.36,83403.1,-0.15,22.99,-0.29,-0.03,-0.0091,26,-2468.68,0.31,30.81,7,26.92,424571.55,60653.08,24.01,34,19,73.08,-488757.33,-25724.07,-8.42,29.63,10
7 (SD9),-64197.89,-12.84,8.59,-1.27,-14.79,-105125.66,-44.3,-204290.01,-40.75,-0.31,-0.03,-0.36,0.73,1.46,38030.75,0.38,25.26,-0.26,0.02,0.0228,36,-1783.27,0.6,23.86,12,33.33,172156.65,14346.39,14.6,33.58,24,66.67,-236354.53,-9848.11,-6.39,19,6
3 (PXT),-64481.4,-12.9,1.93,-1.28,-66.31,-91108.8,-31.05,-96169.04,-18.12,-0.67,-0.07,-3.66,0.5,0.84,15536.48,-0.34,11.57,-0.58,0.4,-0.0206,27,-2388.2,2.9,18.33,10,37.04,63540.61,6354.06,22.99,25.6,17,62.96,-128022.01,-7530.71,-8.92,14.06,2
2 (DCM),-64566.63,-12.91,16.84,-1.28,-7.59,-77178.89,-14.09,-337159.45,-57.52,-0.19,-0.02,-0.13,0.82,2.87,44983.46,-0.45,23.67,-0.28,-0.41,-0.027,45,-1434.81,-0.48,14,10,22.22,294379.68,29437.97,9.06,26.6,35,77.78,-358946.31,-10255.61,-3.21,10.4,1
9 (PVG),-65153.11,-13.03,12.28,-1.29,-10.51,-129020.51,-42.12,-239921.75,-42.24,-0.27,-0.03,-0.25,0.79,1.18,35242.12,-0.2,23.49,-0.28,-0.35,-0.012,40,-1628.83,-0.63,26.45,16,40,240613.69,15038.36,8.04,29.81,24,60,-305766.79,-12740.28,-6.41,24.21,8
3 (ITQ),-65189.15,-13.04,9.44,-1.29,-13.68,-538345.99,-47.74,-926109.98,-68.25,-0.07,-0.02,-0.2,0.87,3.49,69960.32,-0.08,47.24,-0.14,-0.06,-0.0047,45,-1448.65,-0.02,16.2,9,20,448484.16,49831.57,23.48,32.56,36,80,-513673.31,-14268.7,-5.89,12.11,2
5 (PXS),-65220.92,-13.04,16.11,-1.29,-8.02,-207835.48,-35.03,-475202.79,-57.62,-0.14,-0.02,-0.14,0.87,1.37,44085.89,-0.17,35.15,-0.19,0.23,-0.0103,54,-1207.79,2.16,24.2,21,38.89,450822.34,21467.73,17.21,33.43,33,61.11,-516043.27,-15637.67,-7.42,18.33,4
10 (HUT),-65789.67,-13.16,32.54,-1.3,-4.01,-349833.95,-47.78,-896264.77,-80.9,-0.07,-0.02,-0.05,0.93,1.45,189470.42,-0.07,35.85,-0.19,-0.18,-0.0041,46,-1430.21,-0.22,33.3,18,39.13,861212.65,47845.15,12.01,37.56,28,60.87,-927002.32,-33107.23,-8.09,30.57,9
2 (TCB),-65944.4,-13.19,9.1,-1.31,-14.37,-72770.46,-15.29,-176120.09,-34,-0.37,-0.04,-0.42,0.7,1.92,23318.47,-0.22,7.03,-0.95,-0.46,-0.013,15,-4396.29,-0.63,17.27,4,26.67,152809.8,38202.45,9.91,33.25,11,73.33,-218754.2,-19886.75,-4.46,11.45,1
8 (VPI),-65985.21,-13.2,9.84,-1.31,-13.3,-23778.54,-5.76,-80455.45,-15.87,-0.82,-0.08,-0.84,0.28,0.53,11997.71,-0.33,4.42,-1.52,-2.34,-0.0198,20,-3299.26,-0.77,16,7,35,26285.08,3755.01,1,25.71,13,65,-92270.29,-7097.71,-1.73,10.77,7
10 (BSR),-66688.48,-13.34,11.53,-1.32,-11.48,-156231.93,-31.57,-257741.18,-47.48,-0.26,-0.03,-0.24,0.38,0.89,24153.48,-0.26,9.53,-0.71,-1.43,-0.0154,10,-6668.85,-1.35,31.9,3,30,40936.76,13645.59,3.23,31.67,7,70,-107625.24,-15375.03,-3.31,32,9
6 (NAF),-66694.73,-13.34,5.13,-1.32,-25.79,-83726.67,-15.26,-125724.54,-22.49,-0.53,-0.06,-1.15,0.56,1.41,24169.47,-0.06,7.62,-0.88,-0.28,-0.0033,28,-2381.95,-0.23,17.5,8,28.57,86195.35,10774.42,8.85,34.38,20,71.43,-152890.08,-7644.5,-3.87,10.75,5
7 (TPB),-66747.94,-13.35,4.43,-1.32,-29.91,-41221.18,-15.72,-117573.65,-22.27,-0.57,-0.06,-1.34,0.3,0.77,16577.08,-0.25,6.39,-1.05,-1,-0.0153,18,-3708.22,-1.27,16.61,5,27.78,28219.32,5643.86,6.18,23.8,13,72.22,-94967.27,-7305.17,-4.14,13.85,6
4 (VPI),-66967.75,-13.39,12.42,-1.33,-10.7,-26815.48,-6.81,-90344.83,-17.26,-0.74,-0.08,-0.62,0.47,1.34,9775.85,-0.23,4.28,-1.57,-1.86,-0.0138,23,-2911.64,-0.73,16.43,6,26.09,60288.79,10048.13,2.23,29.17,17,73.91,-127256.54,-7485.68,-1.77,11.94,3
5 (VPI),-67034.45,-13.41,10.96,-1.33,-12.14,-26441.31,-6.81,-75044.52,-14.77,-0.89,-0.09,-0.82,0.36,0.68,10357.1,-0.29,3.7,-1.82,-2.02,-0.0174,23,-2914.54,-0.72,15.43,8,34.78,38527.75,4815.97,1.3,25.5,15,65.22,-105562.2,-7037.48,-1.8,10.07,4
4 (SBT),-67113.92,-13.42,40.11,-1.33,-3.32,-281336.55,-34.72,-709623.24,-62.54,-0.09,-0.02,-0.05,0.94,1.66,143251.29,0.11,33.96,-0.2,-0.02,0.0068,80,-838.92,0.34,19.46,29,36.25,1137207.51,39214.05,8.95,31.69,51,63.75,-1204321.43,-23614.15,-4.56,12.51,3
2 (SKG),-67156.76,-13.43,5.83,-1.33,-22.88,-52569.66,-40.12,-110380.52,-21.89,-0.61,-0.06,-1.05,0.45,0.94,14501.12,-0.51,7.28,-0.92,-1.96,-0.0308,28,-2398.46,-1.79,16.5,9,32.14,54248.28,6027.59,2.95,21.44,19,67.86,-121405.04,-6389.74,-4.03,14.16,1
3 (HVH),-67195.89,-13.44,2.72,-1.33,-49,-110087.64,-21.43,-140500.07,-25.79,-0.48,-0.05,-1.9,0.49,1.32,20462.87,-0.14,6.62,-1.02,0.38,-0.0084,11,-6108.72,1.76,19.64,3,27.27,65509.62,21836.54,18.25,50,8,72.73,-132705.51,-16588.19,-4.42,8.25,2
7 (QNS),-67354.66,-13.47,12.05,-1.34,-11.1,-70316.6,-16.76,-172369.5,-34.3,-0.39,-0.04,-0.32,0.63,1.89,32084.75,-0.33,10.58,-0.64,-0.56,-0.0198,16,-4209.67,-0.8,22.38,4,25,114759.12,28689.78,8.66,34.25,12,75,-182113.78,-15176.15,-3.95,18.42,6
11 (VIP),-67641.84,-13.53,10.02,-1.34,-13.4,-130168.74,-53.81,-177053.7,-30.35,-0.38,-0.04,-0.44,0.73,1.33,20727.19,-0.22,22.01,-0.31,0.07,-0.0131,51,-1326.31,0.77,24.18,18,35.29,179916.29,9995.35,11.91,33.22,33,64.71,-247558.13,-7501.76,-5.3,19.24,10
7 (FRT),-67876.96,-13.58,2.3,-1.35,-58.66,-72957.79,-15.93,-126026.69,-23.33,-0.54,-0.06,-2.51,0.49,0.98,11033.83,-0.11,3.26,-2.07,-0.25,-0.0064,6,-11312.83,-0.6,17.17,2,33.33,64986.19,32493.1,15.2,34,4,66.67,-132863.15,-33215.79,-8.5,8.75,6
1 (CEO),-67906.73,-13.58,19.84,-1.35,-6.8,-136783.08,-21.59,-233879.74,-36.91,-0.29,-0.04,-0.18,0.86,2.43,34491.35,-0.16,16.81,-0.4,-0.73,-0.0096,46,-1476.23,-1,15.26,12,26.09,410631.49,34219.29,8.4,32,34,73.91,-478538.22,-14074.65,-4.32,9.35,0
1 (VPH),-67950.86,-13.59,4.52,-1.35,-29.88,-35505.98,-21.13,-110410.86,-22.08,-0.62,-0.06,-1.35,0.51,1.02,13472.1,-0.48,11.64,-0.58,0.08,-0.029,48,-1415.64,0.67,18.21,16,33.33,70088.45,4380.53,13.36,32.81,32,66.67,-138039.31,-4313.73,-5.68,10.91,0
5 (QCG),-67930.01,-13.59,17.11,-1.35,-7.89,-321652.67,-43.73,-868049.04,-66.81,-0.08,-0.02,-0.12,0.93,2.24,181902.32,0.15,34.2,-0.2,0.2,0.009,51,-1331.96,2.25,18.14,15,29.41,949107.35,63273.82,24.22,23.33,36,70.59,-1017037.35,-28251.04,-6.9,15.97,4
11 (G36),-68553.7,-13.71,2.2,-1.36,-61.97,-83135.48,-27.59,-140311.25,-27.8,-0.49,-0.05,-2.23,0.25,0.89,14851.37,-0.12,3.38,-2,-1.9,-0.007,9,-7617.08,-2.2,13.33,2,22.22,23217.91,11608.95,5.51,12.5,7,77.78,-91771.61,-13110.23,-4.4,13.57,10
5 (TDC),-68943.93,-13.79,8.37,-1.37,-16.38,-86665.67,-20.34,-213393.91,-33.66,-0.32,-0.04,-0.49,0.71,1.16,26712.74,-0.23,22.43,-0.3,0.4,-0.0139,58,-1188.69,1.35,18.24,22,37.93,167447.25,7611.24,9.49,29.36,36,62.07,-236391.17,-6566.42,-3.62,11.44,4
4 (FID),-69373.16,-13.87,5.12,-1.38,-26.95,-276617.9,-39.46,-369196.21,-52.66,-0.19,-0.03,-0.51,0.69,1.04,30993.51,-0.3,27.26,-0.25,0.69,-0.0183,10,-6937.32,4.87,25.7,4,40,154429.69,38607.42,25.63,40.5,6,60,-223802.85,-37300.47,-8.97,15.83,3
3 (TVB),-69505.84,-13.9,3.23,-1.38,-42.8,-105214.23,-37.74,-153452.07,-26.56,-0.45,-0.05,-1.61,0.58,1.25,23162.17,0.09,5.5,-1.23,0.52,0.0053,41,-1695.26,2.06,17.17,13,31.71,95674.96,7359.61,14.48,34.15,28,68.29,-165180.8,-5899.31,-3.71,9.29,2
2 (DDV),-70139.93,-14.03,0.62,-1.4,-226.54,-104051.69,-22.12,-111027.92,-20.59,-0.63,-0.07,-11,0.03,0.06,18091.19,-0.44,10.58,-0.64,-3.81,-0.0263,11,-6376.36,-4.21,8.64,4,36.36,2506.45,626.61,2.83,9.5,7,63.64,-72646.38,-10378.05,-8.24,8.14,1
2 (LGL),-70158.16,-14.03,2.3,-1.4,-60.86,-37961.15,-20.86,-72579.23,-14.5,-0.97,-0.1,-4.2,0.28,0.85,8688.95,-0.34,7.61,-0.89,-1.35,-0.0205,32,-2192.44,-1.72,12.69,8,25,27832.04,3479,6.73,25.13,24,75,-97990.19,-4082.92,-4.53,8.54,1
8 (IDI),-70288.09,-14.06,19.24,-1.4,-7.28,-146191.6,-29.98,-391778.24,-55.47,-0.18,-0.03,-0.13,0.87,2.06,72338.83,-0.17,27.77,-0.24,0.15,-0.01,47,-1495.49,1.24,24.49,14,29.79,491059.5,35075.68,16.49,33.71,33,70.21,-561347.58,-17010.53,-5.22,20.58,7
5 (LMH),-70553.11,-14.11,3.3,-1.41,-42.57,-182775.63,-93.04,-216326.42,-33.81,-0.33,-0.04,-1.26,0.61,0.46,29604.2,0.01,8.91,-0.76,-0.43,0.0008,7,-10079.02,-5.63,41.57,4,57.14,112057.18,28014.3,13.81,26.75,3,42.86,-182610.29,-60870.1,-31.54,61.33,4
5 (TPB),-71059.64,-14.21,3.95,-1.42,-35.89,-40331.53,-12.22,-84360.03,-16.6,-0.84,-0.09,-2.16,0.24,0.89,15709.75,-0.28,5.19,-1.31,-2.44,-0.0171,19,-3739.98,-2.4,13.47,4,21.05,21950.86,5487.72,4.36,19.75,15,78.95,-93010.5,-6200.7,-4.2,11.8,4
10 (CKG),-71782.03,-14.36,0.41,-1.43,-348.81,-45943.78,-9.19,-83289.19,-16.66,-0.86,-0.09,-20.94,0, N/A,4336.06,-0.05,0.88,-7.76,-26.85,-0.003,2,-35891.02,-7.45,6.5,0,0,0,  N/A,  N/A,  N/A,2,100,-71782.03,-35891.02,-7.45,6.5,9
11 (DAG),-72081.9,-14.42,10.01,-1.44,-14.37,-88865.3,-22.82,-270035.82,-39.22,-0.27,-0.04,-0.37,0.7,1.17,40615.09,0.04,15.46,-0.44,-0.62,0.0022,32,-2252.56,-0.78,19.53,12,37.5,168918.48,14076.54,5.54,28.58,20,62.5,-241000.38,-12050.02,-4.56,14.1,10
10 (QNS),-72324.9,-14.46,9.89,-1.44,-14.6,-64909,-25.61,-164401.5,-32.88,-0.44,-0.04,-0.44,0.55,1.38,28883.08,-0.37,10.07,-0.68,-0.71,-0.022,14,-5166.06,-1.51,30.14,4,28.57,89485.61,22371.4,7.94,31.5,10,71.43,-161810.51,-16181.05,-5.29,29.6,9
4 (VCG),-72432.2,-14.49,42.18,-1.45,-3.43,-177182.03,-28.82,-419877.75,-59.66,-0.17,-0.02,-0.06,0.93,1.87,99931.72,0.05,38.18,-0.18,0.1,0.0032,72,-1006,0.7,18.35,24,33.33,1004825.41,41867.73,12.51,30.5,48,66.67,-1077257.6,-22442.87,-5.2,12.27,3
9 (HHP),-72469.04,-14.49,3.44,-1.45,-42.01,-54218.48,-27.75,-110165.8,-21.08,-0.66,-0.07,-1.99,0.38,0.63,16727.94,-0.21,5.66,-1.21,-0.69,-0.0129,16,-4529.31,-1.42,20.06,6,37.5,43544.54,7257.42,6.17,27.67,10,62.5,-116013.58,-11601.36,-5.98,15.5,8
2 (VND),-72789.49,-14.56,25.05,-1.45,-5.8,-137595.6,-25,-295366.48,-52.26,-0.25,-0.03,-0.11,0.9,1.84,71472.63,0.04,35.45,-0.19,0.41,0.0021,64,-1137.34,2.42,20.38,21,32.81,654424.18,31163.06,18.88,39.38,43,67.19,-727213.67,-16911.95,-5.62,11.09,1
10 (G36),-72822.7,-14.56,1.75,-1.45,-83.05,-91659.21,-27.59,-140210.93,-27.65,-0.52,-0.05,-3,0.14,0.47,13432.79,-0.13,3.18,-2.15,-3.05,-0.0075,9,-8091.41,-3.68,14.33,2,22.22,11374.52,5687.26,4.57,13.5,7,77.78,-84197.22,-12028.17,-6.03,14.57,9
2 (HDB),-72867.92,-14.57,11.15,-1.46,-13.05,-65860.54,-13.68,-184058.5,-36.61,-0.4,-0.04,-0.36,0.73,2.03,30414.87,-0.34,10.21,-0.67,-0.41,-0.0203,19,-3835.15,-0.52,16.74,5,26.32,193154.64,38630.93,10.6,36,14,73.68,-266022.56,-19001.61,-4.5,9.86,1
1 (EVG),-72913.27,-14.58,4.01,-1.46,-36.28,-46390.28,-21.88,-183959.34,-36.22,-0.4,-0.04,-1,0.59,2.21,35552.91,-0.34,12.23,-0.56,-0.54,-0.0203,19,-3837.54,-1.47,12.53,4,21.05,104796.68,26199.17,17.76,28,15,78.95,-177709.95,-11847.33,-6.6,8.4,0
3 (HOM),-73016.62,-14.6,0.87,-1.46,-167.11,-63786.41,-22.92,-77442.05,-15.49,-0.94,-0.09,-10.79,0.11,0.28,3825.8,-0.06,14.61,-0.47,0.38,-0.0033,17,-4295.1,2.53,13.94,5,29.41,9450.06,1890.01,22.75,29,12,70.59,-82466.68,-6872.22,-5.9,7.67,2
6 (STB),-73207.05,-14.64,39.17,-1.46,-3.73,-175549.28,-31.33,-349203.56,-51.49,-0.21,-0.03,-0.07,0.91,1.62,62270.87,-0.08,26.62,-0.26,-0.02,-0.0046,61,-1200.12,0.37,21.54,22,36.07,751917.06,34178.05,9.06,34.77,39,63.93,-825124.11,-21157.03,-4.54,14.08,5
6 (SMC),-73464.32,-14.69,2.31,-1.47,-63.56,-55147.57,-18.06,-102048.85,-19.43,-0.72,-0.08,-3.27,0.34,0.38,18930.4,-0.34,10.54,-0.65,0.26,-0.0203,19,-3866.54,1.25,18.84,9,47.37,38259.99,4251.11,8.81,26.67,10,52.63,-111724.31,-11172.43,-5.56,11.8,5
9 (LAS),-73647.47,-14.73,6.06,-1.47,-24.3,-44143.07,-13.92,-103555.84,-19.68,-0.71,-0.07,-1.24,0.35,0.87,15906.01,-0.53,10.51,-0.65,-0.14,-0.0318,31,-2375.72,0.17,23.61,9,29.03,40356.69,4484.08,7.69,35.22,22,70.97,-114004.16,-5182.01,-2.91,18.86,8
2 (VPI),-73667.98,-14.73,11.67,-1.47,-12.62,-22735.99,-6.81,-103971.09,-19.61,-0.71,-0.08,-0.64,0.38,0.98,12543.65,-0.08,4.01,-1.71,-1.93,-0.0046,25,-2946.72,-0.6,15.88,7,28,45668.91,6524.13,1.83,27.71,18,72,-119336.89,-6629.83,-1.55,11.28,1
